Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
126,0,索引,名詞,一般,*,*,索引,38
127,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
128,0,処理,名詞,サ変接続,*,*,処理,36
129,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
130,0,データベース,名詞,一般,*,*,データベース,38
131,0,XML,名詞,固有名詞,一般,*,XML,41
132,0,データベース,名詞,一般,*,*,データベース,38
133,0,RDF,名詞,固有名詞,一般,*,RDF,41
134,0,データベース,名詞,一般,*,*,データベース,38
0,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
1,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
2,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
3,0,正規,名詞,一般,*,*,正規,38
4,0,形,名詞,接尾,一般,*,形,51
5,0,概念,名詞,一般,*,*,概念,38
6,0,設計,名詞,サ変接続,*,*,設計,36
7,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
8,0,SQL,名詞,固有名詞,一般,*,SQL,41
9,0,トランザクション,名詞,一般,*,*,トランザクション,38
10,0,同時,名詞,一般,*,*,同時,38
11,0,実行,名詞,サ変接続,*,*,実行,36
12,0,制御,名詞,サ変接続,*,*,制御,36
13,0,障害,名詞,一般,*,*,障害,38
14,0,回復,名詞,サ変接続,*,*,回復,36
15,0,データ,名詞,一般,*,*,データ,38
16,0,格納,名詞,サ変接続,*,*,格納,36
17,0,方法,名詞,一般,*,*,方法,38
18,0,索引,名詞,一般,*,*,索引,38
19,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
20,0,処理,名詞,サ変接続,*,*,処理,36
21,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
22,0,データベース,名詞,一般,*,*,データベース,38
23,0,XML,名詞,固有名詞,一般,*,XML,41
24,0,データベース,名詞,一般,*,*,データベース,38
25,0,RDF,名詞,固有名詞,一般,*,RDF,41
26,0,データベース,名詞,一般,*,*,データベース,38
27,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
28,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
29,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
30,0,正規,名詞,一般,*,*,正規,38
31,0,形,名詞,接尾,一般,*,形,51
32,0,概念,名詞,一般,*,*,概念,38
33,0,設計,名詞,サ変接続,*,*,設計,36
34,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
35,0,SQL,名詞,固有名詞,一般,*,SQL,41
36,0,トランザクション,名詞,一般,*,*,トランザクション,38
37,0,同時,名詞,一般,*,*,同時,38
38,0,実行,名詞,サ変接続,*,*,実行,36
39,0,制御,名詞,サ変接続,*,*,制御,36
40,0,障害,名詞,一般,*,*,障害,38
41,0,回復,名詞,サ変接続,*,*,回復,36
42,0,データ,名詞,一般,*,*,データ,38
43,0,格納,名詞,サ変接続,*,*,格納,36
44,0,方法,名詞,一般,*,*,方法,38
45,0,索引,名詞,一般,*,*,索引,38
46,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
47,0,処理,名詞,サ変接続,*,*,処理,36
48,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
49,0,データベース,名詞,一般,*,*,データベース,38
50,0,XML,名詞,固有名詞,一般,*,XML,41
51,0,データベース,名詞,一般,*,*,データベース,38
52,0,RDF,名詞,固有名詞,一般,*,RDF,41
53,0,データベース,名詞,一般,*,*,データベース,38
54,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
55,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
56,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
57,0,正規,名詞,一般,*,*,正規,38
58,0,形,名詞,接尾,一般,*,形,51
59,0,概念,名詞,一般,*,*,概念,38
60,0,設計,名詞,サ変接続,*,*,設計,36
61,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
62,0,SQL,名詞,固有名詞,一般,*,SQL,41
63,0,トランザクション,名詞,一般,*,*,トランザクション,38
64,0,同時,名詞,一般,*,*,同時,38
65,0,実行,名詞,サ変接続,*,*,実行,36
66,0,制御,名詞,サ変接続,*,*,制御,36
67,0,障害,名詞,一般,*,*,障害,38
68,0,回復,名詞,サ変接続,*,*,回復,36
69,0,データ,名詞,一般,*,*,データ,38
70,0,格納,名詞,サ変接続,*,*,格納,36
71,0,方法,名詞,一般,*,*,方法,38
72,0,索引,名詞,一般,*,*,索引,38
73,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
74,0,処理,名詞,サ変接続,*,*,処理,36
75,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
76,0,データベース,名詞,一般,*,*,データベース,38
77,0,XML,名詞,固有名詞,一般,*,XML,41
78,0,データベース,名詞,一般,*,*,データベース,38
79,0,RDF,名詞,固有名詞,一般,*,RDF,41
80,0,データベース,名詞,一般,*,*,データベース,38
81,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
82,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
83,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
84,0,正規,名詞,一般,*,*,正規,38
85,0,形,名詞,接尾,一般,*,形,51
86,0,概念,名詞,一般,*,*,概念,38
87,0,設計,名詞,サ変接続,*,*,設計,36
88,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
89,0,SQL,名詞,固有名詞,一般,*,SQL,41
90,0,トランザクション,名詞,一般,*,*,トランザクション,38
91,0,同時,名詞,一般,*,*,同時,38
92,0,実行,名詞,サ変接続,*,*,実行,36
93,0,制御,名詞,サ変接続,*,*,制御,36
94,0,障害,名詞,一般,*,*,障害,38
95,0,回復,名詞,サ変接続,*,*,回復,36
96,0,データ,名詞,一般,*,*,データ,38
97,0,格納,名詞,サ変接続,*,*,格納,36
98,0,方法,名詞,一般,*,*,方法,38
99,0,索引,名詞,一般,*,*,索引,38
100,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
101,0,処理,名詞,サ変接続,*,*,処理,36
102,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
103,0,データベース,名詞,一般,*,*,データベース,38
104,0,XML,名詞,固有名詞,一般,*,XML,41
105,0,データベース,名詞,一般,*,*,データベース,38
106,0,RDF,名詞,固有名詞,一般,*,RDF,41
107,0,データベース,名詞,一般,*,*,データベース,38
108,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
109,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
110,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
111,0,正規,名詞,一般,*,*,正規,38
112,0,形,名詞,接尾,一般,*,形,51
113,0,概念,名詞,一般,*,*,概念,38
114,0,設計,名詞,サ変接続,*,*,設計,36
115,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
116,0,SQL,名詞,固有名詞,一般,*,SQL,41
117,0,トランザクション,名詞,一般,*,*,トランザクション,38
118,0,同時,名詞,一般,*,*,同時,38
119,0,実行,名詞,サ変接続,*,*,実行,36
120,0,制御,名詞,サ変接続,*,*,制御,36
121,0,障害,名詞,一般,*,*,障害,38
122,0,回復,名詞,サ変接続,*,*,回復,36
123,0,データ,名詞,一般,*,*,データ,38
124,0,格納,名詞,サ変接続,*,*,格納,36
125,0,方法,名詞,一般,*,*,方法,38
126,0,索引,名詞,一般,*,*,索引,38
127,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
128,0,処理,名詞,サ変接続,*,*,処理,36
129,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
130,0,データベース,名詞,一般,*,*,データベース,38
131,0,XML,名詞,固有名詞,一般,*,XML,41
132,0,データベース,名詞,一般,*,*,データベース,38
133,0,RDF,名詞,固有名詞,一般,*,RDF,41
134,0,データベース,名詞,一般,*,*,データベース,38
0,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
1,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
2,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
3,0,正規,名詞,一般,*,*,正規,38
4,0,形,名詞,接尾,一般,*,形,51
5,0,概念,名詞,一般,*,*,概念,38
6,0,設計,名詞,サ変接続,*,*,設計,36
7,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
8,0,SQL,名詞,固有名詞,一般,*,SQL,41
9,0,トランザクション,名詞,一般,*,*,トランザクション,38
10,0,同時,名詞,一般,*,*,同時,38
11,0,実行,名詞,サ変接続,*,*,実行,36
12,0,制御,名詞,サ変接続,*,*,制御,36
13,0,障害,名詞,一般,*,*,障害,38
14,0,回復,名詞,サ変接続,*,*,回復,36
15,0,データ,名詞,一般,*,*,データ,38
16,0,格納,名詞,サ変接続,*,*,格納,36
17,0,方法,名詞,一般,*,*,方法,38
18,0,索引,名詞,一般,*,*,索引,38
19,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
20,0,処理,名詞,サ変接続,*,*,処理,36
21,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
22,0,データベース,名詞,一般,*,*,データベース,38
23,0,XML,名詞,固有名詞,一般,*,XML,41
24,0,データベース,名詞,一般,*,*,データベース,38
25,0,RDF,名詞,固有名詞,一般,*,RDF,41
26,0,データベース,名詞,一般,*,*,データベース,38
27,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
28,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
29,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
30,0,正規,名詞,一般,*,*,正規,38
31,0,形,名詞,接尾,一般,*,形,51
32,0,概念,名詞,一般,*,*,概念,38
33,0,設計,名詞,サ変接続,*,*,設計,36
34,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
35,0,SQL,名詞,固有名詞,一般,*,SQL,41
36,0,トランザクション,名詞,一般,*,*,トランザクション,38
37,0,同時,名詞,一般,*,*,同時,38
38,0,実行,名詞,サ変接続,*,*,実行,36
39,0,制御,名詞,サ変接続,*,*,制御,36
40,0,障害,名詞,一般,*,*,障害,38
41,0,回復,名詞,サ変接続,*,*,回復,36
42,0,データ,名詞,一般,*,*,データ,38
43,0,格納,名詞,サ変接続,*,*,格納,36
44,0,方法,名詞,一般,*,*,方法,38
45,0,索引,名詞,一般,*,*,索引,38
46,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
47,0,処理,名詞,サ変接続,*,*,処理,36
48,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
49,0,データベース,名詞,一般,*,*,データベース,38
50,0,XML,名詞,固有名詞,一般,*,XML,41
51,0,データベース,名詞,一般,*,*,データベース,38
52,0,RDF,名詞,固有名詞,一般,*,RDF,41
53,0,データベース,名詞,一般,*,*,データベース,38
54,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
55,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
56,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
57,0,正規,名詞,一般,*,*,正規,38
58,0,形,名詞,接尾,一般,*,形,51
59,0,概念,名詞,一般,*,*,概念,38
60,0,設計,名詞,サ変接続,*,*,設計,36
61,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
62,0,SQL,名詞,固有名詞,一般,*,SQL,41
63,0,トランザクション,名詞,一般,*,*,トランザクション,38
64,0,同時,名詞,一般,*,*,同時,38
65,0,実行,名詞,サ変接続,*,*,実行,36
66,0,制御,名詞,サ変接続,*,*,制御,36
67,0,障害,名詞,一般,*,*,障害,38
68,0,回復,名詞,サ変接続,*,*,回復,36
69,0,データ,名詞,一般,*,*,データ,38
70,0,格納,名詞,サ変接続,*,*,格納,36
71,0,方法,名詞,一般,*,*,方法,38
72,0,索引,名詞,一般,*,*,索引,38
73,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
74,0,処理,名詞,サ変接続,*,*,処理,36
75,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
76,0,データベース,名詞,一般,*,*,データベース,38
77,0,XML,名詞,固有名詞,一般,*,XML,41
78,0,データベース,名詞,一般,*,*,データベース,38
79,0,RDF,名詞,固有名詞,一般,*,RDF,41
80,0,データベース,名詞,一般,*,*,データベース,38
81,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
82,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
83,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
84,0,正規,名詞,一般,*,*,正規,38
85,0,形,名詞,接尾,一般,*,形,51
86,0,概念,名詞,一般,*,*,概念,38
87,0,設計,名詞,サ変接続,*,*,設計,36
88,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
89,0,SQL,名詞,固有名詞,一般,*,SQL,41
90,0,トランザクション,名詞,一般,*,*,トランザクション,38
91,0,同時,名詞,一般,*,*,同時,38
92,0,実行,名詞,サ変接続,*,*,実行,36
93,0,制御,名詞,サ変接続,*,*,制御,36
94,0,障害,名詞,一般,*,*,障害,38
95,0,回復,名詞,サ変接続,*,*,回復,36
96,0,データ,名詞,一般,*,*,データ,38
97,0,格納,名詞,サ変接続,*,*,格納,36
98,0,方法,名詞,一般,*,*,方法,38
99,0,索引,名詞,一般,*,*,索引,38
100,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
101,0,処理,名詞,サ変接続,*,*,処理,36
102,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
103,0,データベース,名詞,一般,*,*,データベース,38
104,0,XML,名詞,固有名詞,一般,*,XML,41
105,0,データベース,名詞,一般,*,*,データベース,38
106,0,RDF,名詞,固有名詞,一般,*,RDF,41
107,0,データベース,名詞,一般,*,*,データベース,38
108,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
109,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
110,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
111,0,正規,名詞,一般,*,*,正規,38
112,0,形,名詞,接尾,一般,*,形,51
113,0,概念,名詞,一般,*,*,概念,38
114,0,設計,名詞,サ変接続,*,*,設計,36
115,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
116,0,SQL,名詞,固有名詞,一般,*,SQL,41
117,0,トランザクション,名詞,一般,*,*,トランザクション,38
118,0,同時,名詞,一般,*,*,同時,38
119,0,実行,名詞,サ変接続,*,*,実行,36
120,0,制御,名詞,サ変接続,*,*,制御,36
121,0,障害,名詞,一般,*,*,障害,38
122,0,回復,名詞,サ変接続,*,*,回復,36
123,0,データ,名詞,一般,*,*,データ,38
124,0,格納,名詞,サ変接続,*,*,格納,36
125,0,方法,名詞,一般,*,*,方法,38
126,0,索引,名詞,一般,*,*,索引,38
127,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
128,0,処理,名詞,サ変接続,*,*,処理,36
129,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
130,0,データベース,名詞,一般,*,*,データベース,38
131,0,XML,名詞,固有名詞,一般,*,XML,41
132,0,データベース,名詞,一般,*,*,データベース,38
133,0,RDF,名詞,固有名詞,一般,*,RDF,41
134,0,データベース,名詞,一般,*,*,データベース,38
0,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
1,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
2,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
3,0,正規,名詞,一般,*,*,正規,38
4,0,形,名詞,接尾,一般,*,形,51
5,0,概念,名詞,一般,*,*,概念,38
6,0,設計,名詞,サ変接続,*,*,設計,36
7,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
8,0,SQL,名詞,固有名詞,一般,*,SQL,41
9,0,トランザクション,名詞,一般,*,*,トランザクション,38
10,0,同時,名詞,一般,*,*,同時,38
11,0,実行,名詞,サ変接続,*,*,実行,36
12,0,制御,名詞,サ変接続,*,*,制御,36
13,0,障害,名詞,一般,*,*,障害,38
14,0,回復,名詞,サ変接続,*,*,回復,36
15,0,データ,名詞,一般,*,*,データ,38
16,0,格納,名詞,サ変接続,*,*,格納,36
17,0,方法,名詞,一般,*,*,方法,38
18,0,索引,名詞,一般,*,*,索引,38
19,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
20,0,処理,名詞,サ変接続,*,*,処理,36
21,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
22,0,データベース,名詞,一般,*,*,データベース,38
23,0,XML,名詞,固有名詞,一般,*,XML,41
24,0,データベース,名詞,一般,*,*,データベース,38
25,0,RDF,名詞,固有名詞,一般,*,RDF,41
26,0,データベース,名詞,一般,*,*,データベース,38
27,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
28,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
29,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
30,0,正規,名詞,一般,*,*,正規,38
31,0,形,名詞,接尾,一般,*,形,51
32,0,概念,名詞,一般,*,*,概念,38
33,0,設計,名詞,サ変接続,*,*,設計,36
34,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
35,0,SQL,名詞,固有名詞,一般,*,SQL,41
36,0,トランザクション,名詞,一般,*,*,トランザクション,38
37,0,同時,名詞,一般,*,*,同時,38
38,0,実行,名詞,サ変接続,*,*,実行,36
39,0,制御,名詞,サ変接続,*,*,制御,36
40,0,障害,名詞,一般,*,*,障害,38
41,0,回復,名詞,サ変接続,*,*,回復,36
42,0,データ,名詞,一般,*,*,データ,38
43,0,格納,名詞,サ変接続,*,*,格納,36
44,0,方法,名詞,一般,*,*,方法,38
45,0,索引,名詞,一般,*,*,索引,38
46,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
47,0,処理,名詞,サ変接続,*,*,処理,36
48,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
49,0,データベース,名詞,一般,*,*,データベース,38
50,0,XML,名詞,固有名詞,一般,*,XML,41
51,0,データベース,名詞,一般,*,*,データベース,38
52,0,RDF,名詞,固有名詞,一般,*,RDF,41
53,0,データベース,名詞,一般,*,*,データベース,38
54,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
55,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
56,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
57,0,正規,名詞,一般,*,*,正規,38
58,0,形,名詞,接尾,一般,*,形,51
59,0,概念,名詞,一般,*,*,概念,38
60,0,設計,名詞,サ変接続,*,*,設計,36
61,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
62,0,SQL,名詞,固有名詞,一般,*,SQL,41
63,0,トランザクション,名詞,一般,*,*,トランザクション,38
64,0,同時,名詞,一般,*,*,同時,38
65,0,実行,名詞,サ変接続,*,*,実行,36
66,0,制御,名詞,サ変接続,*,*,制御,36
67,0,障害,名詞,一般,*,*,障害,38
68,0,回復,名詞,サ変接続,*,*,回復,36
69,0,データ,名詞,一般,*,*,データ,38
70,0,格納,名詞,サ変接続,*,*,格納,36
71,0,方法,名詞,一般,*,*,方法,38
72,0,索引,名詞,一般,*,*,索引,38
73,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
74,0,処理,名詞,サ変接続,*,*,処理,36
75,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
76,0,データベース,名詞,一般,*,*,データベース,38
77,0,XML,名詞,固有名詞,一般,*,XML,41
78,0,データベース,名詞,一般,*,*,データベース,38
79,0,RDF,名詞,固有名詞,一般,*,RDF,41
80,0,データベース,名詞,一般,*,*,データベース,38
81,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
82,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
83,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
84,0,正規,名詞,一般,*,*,正規,38
85,0,形,名詞,接尾,一般,*,形,51
86,0,概念,名詞,一般,*,*,概念,38
87,0,設計,名詞,サ変接続,*,*,設計,36
88,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
89,0,SQL,名詞,固有名詞,一般,*,SQL,41
90,0,トランザクション,名詞,一般,*,*,トランザクション,38
91,0,同時,名詞,一般,*,*,同時,38
92,0,実行,名詞,サ変接続,*,*,実行,36
93,0,制御,名詞,サ変接続,*,*,制御,36
94,0,障害,名詞,一般,*,*,障害,38
95,0,回復,名詞,サ変接続,*,*,回復,36
96,0,データ,名詞,一般,*,*,データ,38
97,0,格納,名詞,サ変接続,*,*,格納,36
98,0,方法,名詞,一般,*,*,方法,38
99,0,索引,名詞,一般,*,*,索引,38
100,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
101,0,処理,名詞,サ変接続,*,*,処理,36
102,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
103,0,データベース,名詞,一般,*,*,データベース,38
104,0,XML,名詞,固有名詞,一般,*,XML,41
105,0,データベース,名詞,一般,*,*,データベース,38
106,0,RDF,名詞,固有名詞,一般,*,RDF,41
107,0,データベース,名詞,一般,*,*,データベース,38
108,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
109,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
110,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
111,0,正規,名詞,一般,*,*,正規,38
112,0,形,名詞,接尾,一般,*,形,51
113,0,概念,名詞,一般,*,*,概念,38
114,0,設計,名詞,サ変接続,*,*,設計,36
115,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
116,0,SQL,名詞,固有名詞,一般,*,SQL,41
117,0,トランザクション,名詞,一般,*,*,トランザクション,38
118,0,同時,名詞,一般,*,*,同時,38
119,0,実行,名詞,サ変接続,*,*,実行,36
120,0,制御,名詞,サ変接続,*,*,制御,36
121,0,障害,名詞,一般,*,*,障害,38
122,0,回復,名詞,サ変接続,*,*,回復,36
123,0,データ,名詞,一般,*,*,データ,38
124,0,格納,名詞,サ変接続,*,*,格納,36
125,0,方法,名詞,一般,*,*,方法,38
126,0,索引,名詞,一般,*,*,索引,38
127,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
128,0,処理,名詞,サ変接続,*,*,処理,36
129,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
130,0,データベース,名詞,一般,*,*,データベース,38
131,0,XML,名詞,固有名詞,一般,*,XML,41
132,0,データベース,名詞,一般,*,*,データベース,38
133,0,RDF,名詞,固有名詞,一般,*,RDF,41
134,0,データベース,名詞,一般,*,*,データベース,38
0,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
1,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
2,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
3,0,正規,名詞,一般,*,*,正規,38
4,0,形,名詞,接尾,一般,*,形,51
5,0,概念,名詞,一般,*,*,概念,38
6,0,設計,名詞,サ変接続,*,*,設計,36
7,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
8,0,SQL,名詞,固有名詞,一般,*,SQL,41
9,0,トランザクション,名詞,一般,*,*,トランザクション,38
10,0,同時,名詞,一般,*,*,同時,38
11,0,実行,名詞,サ変接続,*,*,実行,36
12,0,制御,名詞,サ変接続,*,*,制御,36
13,0,障害,名詞,一般,*,*,障害,38
14,0,回復,名詞,サ変接続,*,*,回復,36
15,0,データ,名詞,一般,*,*,データ,38
16,0,格納,名詞,サ変接続,*,*,格納,36
17,0,方法,名詞,一般,*,*,方法,38
18,0,索引,名詞,一般,*,*,索引,38
19,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
20,0,処理,名詞,サ変接続,*,*,処理,36
21,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
22,0,データベース,名詞,一般,*,*,データベース,38
23,0,XML,名詞,固有名詞,一般,*,XML,41
24,0,データベース,名詞,一般,*,*,データベース,38
25,0,RDF,名詞,固有名詞,一般,*,RDF,41
26,0,データベース,名詞,一般,*,*,データベース,38
27,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
28,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
29,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
30,0,正規,名詞,一般,*,*,正規,38
31,0,形,名詞,接尾,一般,*,形,51
32,0,概念,名詞,一般,*,*,概念,38
33,0,設計,名詞,サ変接続,*,*,設計,36
34,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
35,0,SQL,名詞,固有名詞,一般,*,SQL,41
36,0,トランザクション,名詞,一般,*,*,トランザクション,38
37,0,同時,名詞,一般,*,*,同時,38
38,0,実行,名詞,サ変接続,*,*,実行,36
39,0,制御,名詞,サ変接続,*,*,制御,36
40,0,障害,名詞,一般,*,*,障害,38
41,0,回復,名詞,サ変接続,*,*,回復,36
42,0,データ,名詞,一般,*,*,データ,38
43,0,格納,名詞,サ変接続,*,*,格納,36
44,0,方法,名詞,一般,*,*,方法,38
45,0,索引,名詞,一般,*,*,索引,38
46,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
47,0,処理,名詞,サ変接続,*,*,処理,36
48,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
49,0,データベース,名詞,一般,*,*,データベース,38
50,0,XML,名詞,固有名詞,一般,*,XML,41
51,0,データベース,名詞,一般,*,*,データベース,38
52,0,RDF,名詞,固有名詞,一般,*,RDF,41
53,0,データベース,名詞,一般,*,*,データベース,38
54,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
55,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
56,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
57,0,正規,名詞,一般,*,*,正規,38
58,0,形,名詞,接尾,一般,*,形,51
59,0,概念,名詞,一般,*,*,概念,38
60,0,設計,名詞,サ変接続,*,*,設計,36
61,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
62,0,SQL,名詞,固有名詞,一般,*,SQL,41
63,0,トランザクション,名詞,一般,*,*,トランザクション,38
64,0,同時,名詞,一般,*,*,同時,38
65,0,実行,名詞,サ変接続,*,*,実行,36
66,0,制御,名詞,サ変接続,*,*,制御,36
67,0,障害,名詞,一般,*,*,障害,38
68,0,回復,名詞,サ変接続,*,*,回復,36
69,0,データ,名詞,一般,*,*,データ,38
70,0,格納,名詞,サ変接続,*,*,格納,36
71,0,方法,名詞,一般,*,*,方法,38
72,0,索引,名詞,一般,*,*,索引,38
73,0,問い合わせ,名詞,サ変接続,*,*,問い合わせ,36
74,0,処理,名詞,サ変接続,*,*,処理,36
75,0,オブジェクト指向,名詞,固有名詞,一般,*,オブジェクト指向,41
76,0,データベース,名詞,一般,*,*,データベース,38
77,0,XML,名詞,固有名詞,一般,*,XML,41
78,0,データベース,名詞,一般,*,*,データベース,38
79,0,RDF,名詞,固有名詞,一般,*,RDF,41
80,0,データベース,名詞,一般,*,*,データベース,38
81,0,関係モデル,名詞,固有名詞,一般,*,関係モデル,41
82,0,関係代数,名詞,固有名詞,一般,*,関係代数,41
83,0,関係論理,名詞,固有名詞,一般,*,関係論理,41
84,0,正規,名詞,一般,*,*,正規,38
85,0,形,名詞,接尾,一般,*,形,51
86,0,概念,名詞,一般,*,*,概念,38
87,0,設計,名詞,サ変接続,*,*,設計,36
88,0,問い合わせ言語,名詞,固有名詞,一般,*,問い合わせ言語,41
89,0,SQL,名詞,固有名詞,一般,*,SQL,41
90,0,トランザクション,名詞,一般,*,*,トランザクション,38
91,0,同時,名詞,一般,*,*,同時,38
92,0,実行,名詞,サ変接続,*,*,実行,36
93,0,制御,名詞,サ変接続,*,*,制御,36
94,0,障害,名詞,一般,*,*,障害,38
95,0,回復,名詞,サ変接続,*,*,回復,36
96,0,データ,名詞,一般,*,*,データ,38
