Unnamed: 0,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
73,0,連立,名詞,サ変接続,*,*,連立,36
74,0,一次方程式,名詞,固有名詞,一般,*,一次方程式,41
76,0,解く,動詞,自立,*,*,解く,31
77,0,ため,名詞,非自立,副詞可能,*,ため,66
79,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
82,0,ため,名詞,非自立,副詞可能,*,ため,66
84,0,プログラム,名詞,サ変接続,*,*,プログラム,36
86,0,書ける,動詞,自立,*,*,書ける,31
89,0,なる,動詞,自立,*,*,なる,31
91,0,差分法,名詞,固有名詞,一般,*,差分法,41
93,0,基礎,名詞,一般,*,*,基礎,38
95,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
97,0,近似,名詞,サ変接続,*,*,近似,36
98,0,解法,名詞,一般,*,*,解法,38
99,0,差分,名詞,一般,*,*,差分,38
100,0,法,名詞,接尾,一般,*,法,51
102,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
104,0,近似,名詞,サ変接続,*,*,近似,36
105,0,解法,名詞,一般,*,*,解法,38
107,0,説明,名詞,サ変接続,*,*,説明,36
108,0,できる,動詞,自立,*,*,できる,31
111,0,なる,動詞,自立,*,*,なる,31
113,0,移動,名詞,サ変接続,*,*,移動,36
114,0,現象,名詞,一般,*,*,現象,38
116,0,差分法,名詞,固有名詞,一般,*,差分法,41
118,0,解析,名詞,サ変接続,*,*,解析,36
119,0,移動,名詞,サ変接続,*,*,移動,36
120,0,現象,名詞,一般,*,*,現象,38
122,0,差分法,名詞,固有名詞,一般,*,差分法,41
124,0,解析,名詞,サ変接続,*,*,解析,36
125,0,できる,動詞,自立,*,*,できる,31
128,0,なる,動詞,自立,*,*,なる,31
130,0,統計,名詞,サ変接続,*,*,統計,36
132,0,方法,名詞,一般,*,*,方法,38
133,0,統計,名詞,サ変接続,*,*,統計,36
135,0,方法,名詞,一般,*,*,方法,38
137,0,説明,名詞,サ変接続,*,*,説明,36
138,0,できる,動詞,自立,*,*,できる,31
141,0,なる,動詞,自立,*,*,なる,31
143,0,離散形,名詞,一般,*,*,離散形,38
145,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
147,0,連続,名詞,サ変接続,*,*,連続,36
148,0,形,名詞,接尾,一般,*,形,51
150,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
151,0,離散形,名詞,一般,*,*,離散形,38
153,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
155,0,連続,名詞,サ変接続,*,*,連続,36
156,0,形,名詞,接尾,一般,*,形,51
158,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
160,0,説明,名詞,サ変接続,*,*,説明,36
161,0,できる,動詞,自立,*,*,できる,31
164,0,なる,動詞,自立,*,*,なる,31
166,0,不規則,名詞,一般,*,*,不規則,38
167,0,変動,名詞,サ変接続,*,*,変動,36
169,0,データ,名詞,一般,*,*,データ,38
170,0,解析,名詞,サ変接続,*,*,解析,36
172,0,基礎,名詞,一般,*,*,基礎,38
174,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
176,0,スペクトル,名詞,一般,*,*,スペクトル,38
177,0,解析,名詞,サ変接続,*,*,解析,36
178,0,フーリエ級数,名詞,固有名詞,一般,*,フーリエ級数,41
180,0,説明,名詞,サ変接続,*,*,説明,36
181,0,できる,動詞,自立,*,*,できる,31
184,0,なる,動詞,自立,*,*,なる,31
186,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
188,0,基礎,名詞,一般,*,*,基礎,38
190,0,入出力,名詞,サ変接続,*,*,入出力,36
192,0,変数,名詞,一般,*,*,変数,38
194,0,データ型,名詞,固有名詞,一般,*,データ型,41
196,0,演算子,名詞,固有名詞,一般,*,演算子,41
198,0,入出力,名詞,サ変接続,*,*,入出力,36
200,0,変数,名詞,一般,*,*,変数,38
202,0,データ型,名詞,固有名詞,一般,*,データ型,41
204,0,演算子,名詞,固有名詞,一般,*,演算子,41
209,0,できる,動詞,自立,*,*,できる,31
212,0,なる,動詞,自立,*,*,なる,31
214,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
216,0,基礎,名詞,一般,*,*,基礎,38
218,0,条件,名詞,一般,*,*,条件,38
219,0,分岐,名詞,サ変接続,*,*,分岐,36
220,0,処理,名詞,サ変接続,*,*,処理,36
222,0,比較,名詞,サ変接続,*,*,比較,36
223,0,演算子,名詞,固有名詞,一般,*,演算子,41
225,0,繰り返し,動詞,自立,*,*,繰り返す,31
226,0,処理,名詞,サ変接続,*,*,処理,36
228,0,条件,名詞,一般,*,*,条件,38
229,0,分岐,名詞,サ変接続,*,*,分岐,36
230,0,処理,名詞,サ変接続,*,*,処理,36
232,0,比較,名詞,サ変接続,*,*,比較,36
233,0,演算子,名詞,固有名詞,一般,*,演算子,41
235,0,繰り返し,動詞,自立,*,*,繰り返す,31
236,0,処理,名詞,サ変接続,*,*,処理,36
239,0,できる,動詞,自立,*,*,できる,31
242,0,なる,動詞,自立,*,*,なる,31
244,0,方程式,名詞,一般,*,*,方程式,38
246,0,解,名詞,サ変接続,*,*,解,36
248,0,連立,名詞,サ変接続,*,*,連立,36
249,0,一次方程式,名詞,固有名詞,一般,*,一次方程式,41
251,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
252,0,方程式,名詞,一般,*,*,方程式,38
254,0,解,名詞,サ変接続,*,*,解,36
256,0,解く,動詞,自立,*,*,解く,31
257,0,ため,名詞,非自立,副詞可能,*,ため,66
259,0,連立,名詞,サ変接続,*,*,連立,36
260,0,一次方程式,名詞,固有名詞,一般,*,一次方程式,41
262,0,解く,動詞,自立,*,*,解く,31
263,0,ため,名詞,非自立,副詞可能,*,ため,66
265,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
268,0,ため,名詞,非自立,副詞可能,*,ため,66
270,0,プログラム,名詞,サ変接続,*,*,プログラム,36
272,0,書ける,動詞,自立,*,*,書ける,31
275,0,なる,動詞,自立,*,*,なる,31
277,0,差分法,名詞,固有名詞,一般,*,差分法,41
279,0,基礎,名詞,一般,*,*,基礎,38
281,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
283,0,近似,名詞,サ変接続,*,*,近似,36
284,0,解法,名詞,一般,*,*,解法,38
285,0,差分,名詞,一般,*,*,差分,38
286,0,法,名詞,接尾,一般,*,法,51
288,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
290,0,近似,名詞,サ変接続,*,*,近似,36
291,0,解法,名詞,一般,*,*,解法,38
293,0,説明,名詞,サ変接続,*,*,説明,36
294,0,できる,動詞,自立,*,*,できる,31
297,0,なる,動詞,自立,*,*,なる,31
299,0,移動,名詞,サ変接続,*,*,移動,36
300,0,現象,名詞,一般,*,*,現象,38
302,0,差分法,名詞,固有名詞,一般,*,差分法,41
304,0,解析,名詞,サ変接続,*,*,解析,36
305,0,移動,名詞,サ変接続,*,*,移動,36
306,0,現象,名詞,一般,*,*,現象,38
308,0,差分法,名詞,固有名詞,一般,*,差分法,41
310,0,解析,名詞,サ変接続,*,*,解析,36
311,0,できる,動詞,自立,*,*,できる,31
314,0,なる,動詞,自立,*,*,なる,31
316,0,統計,名詞,サ変接続,*,*,統計,36
318,0,方法,名詞,一般,*,*,方法,38
319,0,統計,名詞,サ変接続,*,*,統計,36
321,0,方法,名詞,一般,*,*,方法,38
323,0,説明,名詞,サ変接続,*,*,説明,36
324,0,できる,動詞,自立,*,*,できる,31
327,0,なる,動詞,自立,*,*,なる,31
329,0,離散形,名詞,一般,*,*,離散形,38
331,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
333,0,連続,名詞,サ変接続,*,*,連続,36
334,0,形,名詞,接尾,一般,*,形,51
336,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
337,0,離散形,名詞,一般,*,*,離散形,38
339,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
341,0,連続,名詞,サ変接続,*,*,連続,36
342,0,形,名詞,接尾,一般,*,形,51
344,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
346,0,説明,名詞,サ変接続,*,*,説明,36
347,0,できる,動詞,自立,*,*,できる,31
350,0,なる,動詞,自立,*,*,なる,31
352,0,不規則,名詞,一般,*,*,不規則,38
353,0,変動,名詞,サ変接続,*,*,変動,36
355,0,データ,名詞,一般,*,*,データ,38
356,0,解析,名詞,サ変接続,*,*,解析,36
358,0,基礎,名詞,一般,*,*,基礎,38
360,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
362,0,スペクトル,名詞,一般,*,*,スペクトル,38
363,0,解析,名詞,サ変接続,*,*,解析,36
364,0,フーリエ級数,名詞,固有名詞,一般,*,フーリエ級数,41
366,0,説明,名詞,サ変接続,*,*,説明,36
367,0,できる,動詞,自立,*,*,できる,31
370,0,なる,動詞,自立,*,*,なる,31
372,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
374,0,基礎,名詞,一般,*,*,基礎,38
376,0,入出力,名詞,サ変接続,*,*,入出力,36
378,0,変数,名詞,一般,*,*,変数,38
380,0,データ型,名詞,固有名詞,一般,*,データ型,41
382,0,演算子,名詞,固有名詞,一般,*,演算子,41
384,0,入出力,名詞,サ変接続,*,*,入出力,36
386,0,変数,名詞,一般,*,*,変数,38
388,0,データ型,名詞,固有名詞,一般,*,データ型,41
390,0,演算子,名詞,固有名詞,一般,*,演算子,41
395,0,できる,動詞,自立,*,*,できる,31
398,0,なる,動詞,自立,*,*,なる,31
400,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
402,0,基礎,名詞,一般,*,*,基礎,38
404,0,条件,名詞,一般,*,*,条件,38
405,0,分岐,名詞,サ変接続,*,*,分岐,36
406,0,処理,名詞,サ変接続,*,*,処理,36
408,0,比較,名詞,サ変接続,*,*,比較,36
409,0,演算子,名詞,固有名詞,一般,*,演算子,41
411,0,繰り返し,動詞,自立,*,*,繰り返す,31
412,0,処理,名詞,サ変接続,*,*,処理,36
414,0,条件,名詞,一般,*,*,条件,38
415,0,分岐,名詞,サ変接続,*,*,分岐,36
416,0,処理,名詞,サ変接続,*,*,処理,36
418,0,比較,名詞,サ変接続,*,*,比較,36
419,0,演算子,名詞,固有名詞,一般,*,演算子,41
421,0,繰り返し,動詞,自立,*,*,繰り返す,31
422,0,処理,名詞,サ変接続,*,*,処理,36
425,0,できる,動詞,自立,*,*,できる,31
428,0,なる,動詞,自立,*,*,なる,31
430,0,方程式,名詞,一般,*,*,方程式,38
432,0,解,名詞,サ変接続,*,*,解,36
434,0,連立,名詞,サ変接続,*,*,連立,36
435,0,一次方程式,名詞,固有名詞,一般,*,一次方程式,41
437,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
438,0,方程式,名詞,一般,*,*,方程式,38
440,0,解,名詞,サ変接続,*,*,解,36
442,0,解く,動詞,自立,*,*,解く,31
443,0,ため,名詞,非自立,副詞可能,*,ため,66
445,0,連立,名詞,サ変接続,*,*,連立,36
446,0,一次方程式,名詞,固有名詞,一般,*,一次方程式,41
448,0,解く,動詞,自立,*,*,解く,31
449,0,ため,名詞,非自立,副詞可能,*,ため,66
451,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
454,0,ため,名詞,非自立,副詞可能,*,ため,66
456,0,プログラム,名詞,サ変接続,*,*,プログラム,36
458,0,書ける,動詞,自立,*,*,書ける,31
461,0,なる,動詞,自立,*,*,なる,31
463,0,差分法,名詞,固有名詞,一般,*,差分法,41
465,0,基礎,名詞,一般,*,*,基礎,38
467,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
469,0,近似,名詞,サ変接続,*,*,近似,36
470,0,解法,名詞,一般,*,*,解法,38
471,0,差分,名詞,一般,*,*,差分,38
472,0,法,名詞,接尾,一般,*,法,51
474,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
476,0,近似,名詞,サ変接続,*,*,近似,36
477,0,解法,名詞,一般,*,*,解法,38
479,0,説明,名詞,サ変接続,*,*,説明,36
480,0,できる,動詞,自立,*,*,できる,31
483,0,なる,動詞,自立,*,*,なる,31
485,0,移動,名詞,サ変接続,*,*,移動,36
486,0,現象,名詞,一般,*,*,現象,38
488,0,差分法,名詞,固有名詞,一般,*,差分法,41
490,0,解析,名詞,サ変接続,*,*,解析,36
491,0,移動,名詞,サ変接続,*,*,移動,36
492,0,現象,名詞,一般,*,*,現象,38
494,0,差分法,名詞,固有名詞,一般,*,差分法,41
496,0,解析,名詞,サ変接続,*,*,解析,36
497,0,できる,動詞,自立,*,*,できる,31
500,0,なる,動詞,自立,*,*,なる,31
502,0,統計,名詞,サ変接続,*,*,統計,36
504,0,方法,名詞,一般,*,*,方法,38
505,0,統計,名詞,サ変接続,*,*,統計,36
507,0,方法,名詞,一般,*,*,方法,38
509,0,説明,名詞,サ変接続,*,*,説明,36
510,0,できる,動詞,自立,*,*,できる,31
513,0,なる,動詞,自立,*,*,なる,31
515,0,離散形,名詞,一般,*,*,離散形,38
517,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
519,0,連続,名詞,サ変接続,*,*,連続,36
520,0,形,名詞,接尾,一般,*,形,51
522,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
523,0,離散形,名詞,一般,*,*,離散形,38
525,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
527,0,連続,名詞,サ変接続,*,*,連続,36
528,0,形,名詞,接尾,一般,*,形,51
530,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
532,0,説明,名詞,サ変接続,*,*,説明,36
533,0,できる,動詞,自立,*,*,できる,31
536,0,なる,動詞,自立,*,*,なる,31
538,0,不規則,名詞,一般,*,*,不規則,38
539,0,変動,名詞,サ変接続,*,*,変動,36
541,0,データ,名詞,一般,*,*,データ,38
542,0,解析,名詞,サ変接続,*,*,解析,36
544,0,基礎,名詞,一般,*,*,基礎,38
546,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
548,0,スペクトル,名詞,一般,*,*,スペクトル,38
549,0,解析,名詞,サ変接続,*,*,解析,36
550,0,フーリエ級数,名詞,固有名詞,一般,*,フーリエ級数,41
552,0,説明,名詞,サ変接続,*,*,説明,36
553,0,できる,動詞,自立,*,*,できる,31
556,0,なる,動詞,自立,*,*,なる,31
558,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
560,0,基礎,名詞,一般,*,*,基礎,38
562,0,入出力,名詞,サ変接続,*,*,入出力,36
564,0,変数,名詞,一般,*,*,変数,38
566,0,データ型,名詞,固有名詞,一般,*,データ型,41
568,0,演算子,名詞,固有名詞,一般,*,演算子,41
570,0,入出力,名詞,サ変接続,*,*,入出力,36
572,0,変数,名詞,一般,*,*,変数,38
574,0,データ型,名詞,固有名詞,一般,*,データ型,41
576,0,演算子,名詞,固有名詞,一般,*,演算子,41
581,0,できる,動詞,自立,*,*,できる,31
584,0,なる,動詞,自立,*,*,なる,31
586,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
588,0,基礎,名詞,一般,*,*,基礎,38
590,0,条件,名詞,一般,*,*,条件,38
591,0,分岐,名詞,サ変接続,*,*,分岐,36
592,0,処理,名詞,サ変接続,*,*,処理,36
594,0,比較,名詞,サ変接続,*,*,比較,36
595,0,演算子,名詞,固有名詞,一般,*,演算子,41
597,0,繰り返し,動詞,自立,*,*,繰り返す,31
598,0,処理,名詞,サ変接続,*,*,処理,36
600,0,条件,名詞,一般,*,*,条件,38
601,0,分岐,名詞,サ変接続,*,*,分岐,36
602,0,処理,名詞,サ変接続,*,*,処理,36
604,0,比較,名詞,サ変接続,*,*,比較,36
605,0,演算子,名詞,固有名詞,一般,*,演算子,41
607,0,繰り返し,動詞,自立,*,*,繰り返す,31
608,0,処理,名詞,サ変接続,*,*,処理,36
611,0,できる,動詞,自立,*,*,できる,31
614,0,なる,動詞,自立,*,*,なる,31
616,0,方程式,名詞,一般,*,*,方程式,38
618,0,解,名詞,サ変接続,*,*,解,36
620,0,連立,名詞,サ変接続,*,*,連立,36
621,0,一次方程式,名詞,固有名詞,一般,*,一次方程式,41
623,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
624,0,方程式,名詞,一般,*,*,方程式,38
626,0,解,名詞,サ変接続,*,*,解,36
628,0,解く,動詞,自立,*,*,解く,31
629,0,ため,名詞,非自立,副詞可能,*,ため,66
631,0,連立,名詞,サ変接続,*,*,連立,36
632,0,一次方程式,名詞,固有名詞,一般,*,一次方程式,41
634,0,解く,動詞,自立,*,*,解く,31
635,0,ため,名詞,非自立,副詞可能,*,ため,66
637,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
640,0,ため,名詞,非自立,副詞可能,*,ため,66
642,0,プログラム,名詞,サ変接続,*,*,プログラム,36
644,0,書ける,動詞,自立,*,*,書ける,31
647,0,なる,動詞,自立,*,*,なる,31
649,0,差分法,名詞,固有名詞,一般,*,差分法,41
651,0,基礎,名詞,一般,*,*,基礎,38
653,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
655,0,近似,名詞,サ変接続,*,*,近似,36
656,0,解法,名詞,一般,*,*,解法,38
657,0,差分,名詞,一般,*,*,差分,38
658,0,法,名詞,接尾,一般,*,法,51
660,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
662,0,近似,名詞,サ変接続,*,*,近似,36
663,0,解法,名詞,一般,*,*,解法,38
665,0,説明,名詞,サ変接続,*,*,説明,36
666,0,できる,動詞,自立,*,*,できる,31
669,0,なる,動詞,自立,*,*,なる,31
671,0,移動,名詞,サ変接続,*,*,移動,36
672,0,現象,名詞,一般,*,*,現象,38
674,0,差分法,名詞,固有名詞,一般,*,差分法,41
676,0,解析,名詞,サ変接続,*,*,解析,36
677,0,移動,名詞,サ変接続,*,*,移動,36
678,0,現象,名詞,一般,*,*,現象,38
680,0,差分法,名詞,固有名詞,一般,*,差分法,41
682,0,解析,名詞,サ変接続,*,*,解析,36
683,0,できる,動詞,自立,*,*,できる,31
686,0,なる,動詞,自立,*,*,なる,31
688,0,統計,名詞,サ変接続,*,*,統計,36
690,0,方法,名詞,一般,*,*,方法,38
691,0,統計,名詞,サ変接続,*,*,統計,36
693,0,方法,名詞,一般,*,*,方法,38
695,0,説明,名詞,サ変接続,*,*,説明,36
696,0,できる,動詞,自立,*,*,できる,31
699,0,なる,動詞,自立,*,*,なる,31
701,0,離散形,名詞,一般,*,*,離散形,38
703,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
705,0,連続,名詞,サ変接続,*,*,連続,36
706,0,形,名詞,接尾,一般,*,形,51
708,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
709,0,離散形,名詞,一般,*,*,離散形,38
711,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
713,0,連続,名詞,サ変接続,*,*,連続,36
714,0,形,名詞,接尾,一般,*,形,51
716,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
718,0,説明,名詞,サ変接続,*,*,説明,36
719,0,できる,動詞,自立,*,*,できる,31
722,0,なる,動詞,自立,*,*,なる,31
724,0,不規則,名詞,一般,*,*,不規則,38
725,0,変動,名詞,サ変接続,*,*,変動,36
727,0,データ,名詞,一般,*,*,データ,38
728,0,解析,名詞,サ変接続,*,*,解析,36
730,0,基礎,名詞,一般,*,*,基礎,38
732,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
734,0,スペクトル,名詞,一般,*,*,スペクトル,38
735,0,解析,名詞,サ変接続,*,*,解析,36
736,0,フーリエ級数,名詞,固有名詞,一般,*,フーリエ級数,41
738,0,説明,名詞,サ変接続,*,*,説明,36
739,0,できる,動詞,自立,*,*,できる,31
742,0,なる,動詞,自立,*,*,なる,31
744,0,プログラミング,名詞,サ変接続,*,*,プログラミング,36
746,0,基礎,名詞,一般,*,*,基礎,38
748,0,入出力,名詞,サ変接続,*,*,入出力,36
750,0,変数,名詞,一般,*,*,変数,38
752,0,データ型,名詞,固有名詞,一般,*,データ型,41
754,0,演算子,名詞,固有名詞,一般,*,演算子,41
756,0,条件,名詞,一般,*,*,条件,38
757,0,分岐,名詞,サ変接続,*,*,分岐,36
758,0,処理,名詞,サ変接続,*,*,処理,36
760,0,比較,名詞,サ変接続,*,*,比較,36
761,0,演算子,名詞,固有名詞,一般,*,演算子,41
763,0,繰り返し,動詞,自立,*,*,繰り返す,31
764,0,処理,名詞,サ変接続,*,*,処理,36
766,0,入出力,名詞,サ変接続,*,*,入出力,36
768,0,変数,名詞,一般,*,*,変数,38
770,0,データ型,名詞,固有名詞,一般,*,データ型,41
772,0,演算子,名詞,固有名詞,一般,*,演算子,41
774,0,条件,名詞,一般,*,*,条件,38
775,0,分岐,名詞,サ変接続,*,*,分岐,36
776,0,処理,名詞,サ変接続,*,*,処理,36
778,0,比較,名詞,サ変接続,*,*,比較,36
779,0,演算子,名詞,固有名詞,一般,*,演算子,41
781,0,繰り返し,動詞,自立,*,*,繰り返す,31
782,0,処理,名詞,サ変接続,*,*,処理,36
787,0,できる,動詞,自立,*,*,できる,31
790,0,なる,動詞,自立,*,*,なる,31
792,0,方程式,名詞,一般,*,*,方程式,38
794,0,解,名詞,サ変接続,*,*,解,36
796,0,連立,名詞,サ変接続,*,*,連立,36
797,0,一次方程式,名詞,固有名詞,一般,*,一次方程式,41
799,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
800,0,方程式,名詞,一般,*,*,方程式,38
802,0,解,名詞,サ変接続,*,*,解,36
804,0,解く,動詞,自立,*,*,解く,31
805,0,ため,名詞,非自立,副詞可能,*,ため,66
807,0,連立,名詞,サ変接続,*,*,連立,36
808,0,一次方程式,名詞,固有名詞,一般,*,一次方程式,41
810,0,解く,動詞,自立,*,*,解く,31
811,0,ため,名詞,非自立,副詞可能,*,ため,66
813,0,数値積分,名詞,固有名詞,一般,*,数値積分,41
816,0,ため,名詞,非自立,副詞可能,*,ため,66
818,0,プログラム,名詞,サ変接続,*,*,プログラム,36
820,0,書ける,動詞,自立,*,*,書ける,31
823,0,なる,動詞,自立,*,*,なる,31
825,0,差分法,名詞,固有名詞,一般,*,差分法,41
827,0,基礎,名詞,一般,*,*,基礎,38
829,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
831,0,近似,名詞,サ変接続,*,*,近似,36
832,0,解法,名詞,一般,*,*,解法,38
833,0,差分,名詞,一般,*,*,差分,38
834,0,法,名詞,接尾,一般,*,法,51
836,0,微分方程式,名詞,固有名詞,一般,*,微分方程式,41
838,0,近似,名詞,サ変接続,*,*,近似,36
839,0,解法,名詞,一般,*,*,解法,38
841,0,説明,名詞,サ変接続,*,*,説明,36
842,0,できる,動詞,自立,*,*,できる,31
845,0,なる,動詞,自立,*,*,なる,31
847,0,移動,名詞,サ変接続,*,*,移動,36
848,0,現象,名詞,一般,*,*,現象,38
850,0,差分法,名詞,固有名詞,一般,*,差分法,41
852,0,解析,名詞,サ変接続,*,*,解析,36
853,0,移動,名詞,サ変接続,*,*,移動,36
854,0,現象,名詞,一般,*,*,現象,38
856,0,差分法,名詞,固有名詞,一般,*,差分法,41
858,0,解析,名詞,サ変接続,*,*,解析,36
859,0,できる,動詞,自立,*,*,できる,31
862,0,なる,動詞,自立,*,*,なる,31
864,0,統計,名詞,サ変接続,*,*,統計,36
866,0,方法,名詞,一般,*,*,方法,38
867,0,統計,名詞,サ変接続,*,*,統計,36
869,0,方法,名詞,一般,*,*,方法,38
871,0,説明,名詞,サ変接続,*,*,説明,36
872,0,できる,動詞,自立,*,*,できる,31
875,0,なる,動詞,自立,*,*,なる,31
877,0,離散形,名詞,一般,*,*,離散形,38
879,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
881,0,連続,名詞,サ変接続,*,*,連続,36
882,0,形,名詞,接尾,一般,*,形,51
884,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
885,0,離散形,名詞,一般,*,*,離散形,38
887,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
889,0,連続,名詞,サ変接続,*,*,連続,36
890,0,形,名詞,接尾,一般,*,形,51
892,0,確率分布,名詞,固有名詞,一般,*,確率分布,41
894,0,説明,名詞,サ変接続,*,*,説明,36
895,0,できる,動詞,自立,*,*,できる,31
898,0,なる,動詞,自立,*,*,なる,31
900,0,不規則,名詞,一般,*,*,不規則,38
901,0,変動,名詞,サ変接続,*,*,変動,36
903,0,データ,名詞,一般,*,*,データ,38
904,0,解析,名詞,サ変接続,*,*,解析,36
906,0,基礎,名詞,一般,*,*,基礎,38
908,0,フーリエ変換,名詞,固有名詞,一般,*,フーリエ変換,41
910,0,スペクトル,名詞,一般,*,*,スペクトル,38
911,0,解析,名詞,サ変接続,*,*,解析,36
912,0,フーリエ級数,名詞,固有名詞,一般,*,フーリエ級数,41
914,0,説明,名詞,サ変接続,*,*,説明,36
915,0,できる,動詞,自立,*,*,できる,31
918,0,なる,動詞,自立,*,*,なる,31
0,0,化学,名詞,一般,*,*,化学,38
1,0,データ,名詞,一般,*,*,データ,38
2,0,解析,名詞,サ変接続,*,*,解析,36
0,0,化学,名詞,一般,*,*,化学,38
1,0,データ,名詞,一般,*,*,データ,38
2,0,解析,名詞,サ変接続,*,*,解析,36
0,0,化学,名詞,一般,*,*,化学,38
1,0,データ,名詞,一般,*,*,データ,38
2,0,解析,名詞,サ変接続,*,*,解析,36
0,0,化学,名詞,一般,*,*,化学,38
1,0,データ,名詞,一般,*,*,データ,38
2,0,解析,名詞,サ変接続,*,*,解析,36
0,0,化学,名詞,一般,*,*,化学,38
1,0,データ,名詞,一般,*,*,データ,38
2,0,解析,名詞,サ変接続,*,*,解析,36
